fill_rate_0to12h,fill_rate_12to24h,fill_rate_24to36h,fill_rate_36to48h,fill_rate_48to60h,fill_rate_60to72h,quarter,dept,subj_course_id,start_time,end_time,final_waitlist_count,total_seats,final_waitlist_ratio,fill_rate_0to72h
0.75,0.42,0.17,0.0,2.17,0.75,Sp23,math,MATH 142B,2023-02-18 08:00:00,2023-04-03 06:00:00,7.0,140.0,0.05,4.26
1.17,0.25,0.08,0.0,3.42,0.67,Sp23,math,MATH 103B,2023-02-18 08:00:00,2023-04-03 06:00:00,1.0,240.0,0.0041666666666666,5.59
0.83,0.17,0.25,0.0,3.17,0.5,Sp23,math,MATH 180C,2023-02-18 08:00:00,2023-04-03 06:00:00,7.0,146.0,0.047945205479452,4.92
0.25,0.08,0.0,0.08,0.67,0.0,Sp23,math,MATH 180B,2023-02-18 08:00:00,2023-04-03 06:00:00,2.0,107.0,0.0186915887850467,1.08
0.08,0.0,0.0,0.0,0.25,0.0,Sp23,math,MATH 95,2023-02-18 08:00:00,2023-04-03 06:00:00,0.0,30.0,0.0,0.33
0.58,0.08,0.0,0.08,0.5,0.25,Sp23,math,MATH 180A,2023-02-18 08:00:00,2023-04-03 06:00:00,19.0,215.0,0.0883720930232558,1.4899999999999998
0.83,0.08,0.17,0.0,0.5,0.42,Sp23,math,MATH 109,2023-02-18 08:00:00,2023-04-03 06:00:00,15.0,300.0,0.05,1.9999999999999998
0.92,0.0,0.25,0.0,2.5,0.08,Sp23,math,MATH 185,2023-02-18 08:00:00,2023-04-03 06:00:00,0.0,105.0,0.0,3.75
0.0,0.0,0.08,0.0,0.0,0.0,Sp23,math,MATH 146,2023-02-18 08:00:00,2023-04-03 06:00:00,0.0,30.0,0.0,0.08
2.58,0.33,0.17,0.08,0.5,0.08,Sp23,math,MATH 18,2023-02-18 08:00:00,2023-04-03 06:00:00,36.0,722.0,0.0498614958448753,3.74
